# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 7593 4 5 63 8718750 5 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7593 9 5 63 3599831 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7593 5 5 63 4125093 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7593 9 5 63 3599048 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7593 8 5 63 4918038 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7593 5 5 63 4124899 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7593 4 5 63 8707642 5 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7593 8 5 63 4919754 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_FIRST_OCCURRENCE 3821 2 16 63 8719626 5 /openedx/staticfiles/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_WITHIN_SAME_TREE -3821 3 16 63 6469049 5 /openedx/staticfiles/studio/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_WITHIN_SAME_TREE -3821 2 16 63 8707263 5 /openedx/staticfiles/vendor/jsme/version.txt
DUPTYPE_WITHIN_SAME_TREE -3821 3 16 63 6467068 5 /openedx/staticfiles/studio/vendor/jsme/version.txt
DUPTYPE_FIRST_OCCURRENCE 14439 6 19 63 8716286 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
DUPTYPE_WITHIN_SAME_TREE -14439 7 19 63 8711207 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
DUPTYPE_WITHIN_SAME_TREE -14439 6 19 63 8708037 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_WITHIN_SAME_TREE -14439 7 19 63 8710978 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_FIRST_OCCURRENCE 14441 6 19 63 8716285 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/document.c59df8b8a86e.xml
DUPTYPE_WITHIN_SAME_TREE -14441 7 19 63 8710977 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/document.xml
DUPTYPE_WITHIN_SAME_TREE -14441 7 19 63 8711206 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/document.c59df8b8a86e.xml
DUPTYPE_WITHIN_SAME_TREE -14441 6 19 63 8708036 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/document.xml
DUPTYPE_FIRST_OCCURRENCE 11437 5 20 63 5421813 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421828 5 /openedx/staticfiles/templates/instructor/edx_ace/enrolledunenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419914 5 /openedx/staticfiles/templates/instructor/edx_ace/enrollenrolled/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419922 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedenroll/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419545 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationsubmitted/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419552 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationexpiry/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421823 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421833 5 /openedx/staticfiles/templates/instructor/edx_ace/addbetatester/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419559 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationapproved/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421818 5 /openedx/staticfiles/templates/instructor/edx_ace/enrollenrolled/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5815443 5 /openedx/staticfiles/templates/instructor/edx_ace/removebetatester/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421808 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationapproved/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5815436 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedunenroll/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419936 5 /openedx/staticfiles/templates/instructor/edx_ace/addbetatester/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5817266 5 /openedx/staticfiles/templates/instructor/edx_ace/removebetatester/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421798 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationsubmitted/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419929 5 /openedx/staticfiles/templates/instructor/edx_ace/enrolledunenroll/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5419907 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5421803 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationexpiry/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11437 5 20 63 5817261 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedunenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_FIRST_OCCURRENCE 9271 4 24 63 6603777 5 /openedx/staticfiles/xblock/resources/acid/public/test_data.1eea4ffdd504.json
DUPTYPE_WITHIN_SAME_TREE -9271 5 24 63 8710957 5 /openedx/staticfiles/studio/xblock/resources/acid/public/test_data.json
DUPTYPE_WITHIN_SAME_TREE -9271 5 24 63 8711755 5 /openedx/staticfiles/studio/xblock/resources/acid/public/test_data.1eea4ffdd504.json
DUPTYPE_WITHIN_SAME_TREE -9271 4 24 63 6603317 5 /openedx/staticfiles/xblock/resources/acid/public/test_data.json
DUPTYPE_FIRST_OCCURRENCE 5249 3 32 63 8719086 5 /openedx/staticfiles/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5249 6 32 63 8715933 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5249 6 32 63 8706104 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Tabs/Tabs.scss
DUPTYPE_WITHIN_SAME_TREE -5249 6 32 63 8716029 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5249 6 32 63 8706362 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Tabs/Tabs.scss
DUPTYPE_WITHIN_SAME_TREE -5249 3 32 63 8706772 5 /openedx/staticfiles/paragon/src/Tabs/Tabs.scss
DUPTYPE_FIRST_OCCURRENCE 7601 4 33 63 8718768 5 /openedx/staticfiles/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7601 5 33 63 4124917 5 /openedx/staticfiles/studio/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7601 8 33 63 4919772 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7601 9 33 63 3599066 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7601 4 33 63 8707660 5 /openedx/staticfiles/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7601 8 33 63 4918056 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7601 9 33 63 3599849 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7601 5 33 63 4126009 5 /openedx/staticfiles/studio/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_FIRST_OCCURRENCE 3231 2 34 63 6604038 5 /openedx/staticfiles/teams/templates/date.1f2e2cd443bd.underscore
DUPTYPE_WITHIN_SAME_TREE -3231 2 34 63 6603125 5 /openedx/staticfiles/teams/templates/date.underscore
DUPTYPE_FIRST_OCCURRENCE 6179 3 34 63 8712162 5 /openedx/staticfiles/studio/templates/mock/mock-modal.e0cf2a1313f3.underscore
DUPTYPE_WITHIN_SAME_TREE -6179 3 34 63 8709906 5 /openedx/staticfiles/studio/templates/mock/mock-modal.underscore
DUPTYPE_FIRST_OCCURRENCE 5153 3 35 63 8719095 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5153 6 35 63 8716043 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5153 3 35 63 8706781 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.scss
DUPTYPE_WITHIN_SAME_TREE -5153 6 35 63 8706376 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/CssJail/CssJail.scss
DUPTYPE_WITHIN_SAME_TREE -5153 6 35 63 8715947 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5153 6 35 63 8706118 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/CssJail/CssJail.scss
DUPTYPE_FIRST_OCCURRENCE 9925 5 36 63 8718062 5 /openedx/staticfiles/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -9925 9 36 63 4918073 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -9925 5 36 63 8707677 5 /openedx/staticfiles/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -9925 10 36 63 3599181 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -9925 6 36 63 4125054 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -9925 9 36 63 4919715 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -9925 10 36 63 3599083 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -9925 6 36 63 4124934 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/arr.js
DUPTYPE_FIRST_OCCURRENCE 9619 5 37 63 8717703 5 /openedx/staticfiles/edx-bootstrap/node_modules/bootstrap/scss/utilities/_clearfix.01ed6cc70519.scss
DUPTYPE_WITHIN_SAME_TREE -9619 5 37 63 8707026 5 /openedx/staticfiles/edx-bootstrap/node_modules/bootstrap/scss/utilities/_clearfix.scss
DUPTYPE_FIRST_OCCURRENCE 12595 6 40 63 2290178 5 /openedx/staticfiles/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12595 6 40 63 2289748 5 /openedx/staticfiles/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12595 10 40 63 4919694 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12595 11 40 63 3599101 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12595 10 40 63 4919570 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12595 11 40 63 3599160 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12595 7 40 63 4124952 5 /openedx/staticfiles/studio/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12595 7 40 63 4125031 5 /openedx/staticfiles/studio/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_FIRST_OCCURRENCE 9939 5 42 63 8718059 5 /openedx/staticfiles/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -9939 9 42 63 4919712 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -9939 9 42 63 4918070 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -9939 6 42 63 4124931 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -9939 6 42 63 4125051 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -9939 5 42 63 8707674 5 /openedx/staticfiles/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -9939 10 42 63 3599080 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -9939 10 42 63 3599178 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_FIRST_OCCURRENCE 12459 6 43 63 9095359 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 8706128 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 8716088 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 9094062 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 8716053 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 8706421 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 8715957 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12459 6 43 63 8706386 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_FIRST_OCCURRENCE 4383 3 43 63 9095551 5 /openedx/staticfiles/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9094014 5 /openedx/staticfiles/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9095590 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 8719212 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 8707313 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8709667 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8711866 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8709698 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 6467113 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9095570 5 /openedx/staticfiles/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8711880 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9093983 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.gif
